Numero;Função;Nome;Data nascimento;Nacionalidade;Freguesia;Concelho;Distrito;EstCivil;Cônjuge;Morada;CodPostal;Localidade;Telemóvel;Telefone;E-mail;HabLit;;CC
252;1;Vitória Negão;03/11/1983;1;Carvalhas;Barcelos;Braga;1;Xica Neto;Rua de Carvalhas Nº11;4750;Barcelos;981471458;966860453;Vitória.Negão@piscinasbarcacellos.pb;1;15137745;49024026185
253;1;Zilda Dema;09/04/1997;1;Cossourado;Barcelos;Braga;1;Cristina Pica-Pau;Rua de Cossourado Nº69;4750;Barcelos;915882950;983133108;Zilda.Dema@piscinasbarcacellos.pb;3;98823719;41564062602
254;1;Apolo Cacau;02/05/1985;1;Cristelo;Barcelos;Braga;2;;Rua de Cristelo Nº33;4750;Barcelos;926136510;960565345;Apolo.Cacau@piscinasbarcacellos.pb;3;67050928;85812953182
255;1;Gina Lia;07/01/1973;1;Fornelos;Barcelos;Braga;2;;Rua de Fornelos Nº80;4750;Barcelos;928450808;978423154;Gina.Lia@piscinasbarcacellos.pb;1;91855602;26812788443
256;1;Artur Tampinha;26/09/1980;1;Fragoso;Barcelos;Braga;1;Danilo Nininho;Rua de Fragoso Nº71;4750;Barcelos;963255300;918839388;Artur.Tampinha@piscinasbarcacellos.pb;2;74917090;68271311079
257;1;Suria Beto;10/10/1994;1;Gilmonde;Barcelos;Braga;1;Ni Ratinho;Rua de Gilmonde Nº85;4750;Barcelos;931236237;951818641;Suria.Beto@piscinasbarcacellos.pb;3;92528827;47805249685
258;1;Runi Maluquinho;17/11/1980;1;Lama;Barcelos;Braga;2;;Rua de Lama Nº54;4750;Barcelos;945724809;973703341;Runi.Maluquinho@piscinasbarcacellos.pb;3;87718705;12643841941
259;1;Jaziel Sol;28/10/1985;1;Lijó;Barcelos;Braga;1;Dafny Peuzinha;Rua de Lijó Nº50;4750;Barcelos;997772648;937718017;Jaziel.Sol@piscinasbarcacellos.pb;2;72382713;90957436436
260;1;Kelvin Verinha;21/05/1974;1;Manhente;Barcelos;Braga;1;Nirbhay Lobão;Rua de Manhente Nº55;4750;Barcelos;958376392;990017932;Kelvin.Verinha@piscinasbarcacellos.pb;2;68837955;51905230178
261;1;Salomão Nôh;01/07/1978;1;Martim;Barcelos;Braga;2;;Rua de Martim Nº30;4750;Barcelos;911208187;946848147;Salomão.Nôh@piscinasbarcacellos.pb;2;44768319;69594333307
262;1;Dominique Pity;07/05/2000;1;Moure;Barcelos;Braga;1;Émilly Xuxa;Rua de Moure Nº96;4750;Barcelos;986083639;963915172;Dominique.Pity@piscinasbarcacellos.pb;1;18377064;28974260168
263;1;Skylar Pretinho;20/03/1974;1;Oliveira;Barcelos;Braga;1;Ismael Gáu;Rua de Oliveira Nº99;4750;Barcelos;955117374;915133696;Skylar.Pretinho@piscinasbarcacellos.pb;3;10047146;20200984475
264;1;Ellen Sabiá;18/03/2000;1;Palme;Barcelos;Braga;2;;Rua de Palme Nº45;4750;Barcelos;933384824;913676474;Ellen.Sabiá@piscinasbarcacellos.pb;3;31437113;36373247174
265;1;Kaela Tita;23/12/1985;1;Panque;Barcelos;Braga;2;;Rua de Panque Nº19;4750;Barcelos;951352848;962995399;Kaela.Tita@piscinasbarcacellos.pb;3;38032558;50620052002
266;1;Katie Déca;02/06/1989;1;Paradela;Barcelos;Braga;2;;Rua de Paradela Nº52;4750;Barcelos;975109244;938448634;Katie.Déca@piscinasbarcacellos.pb;3;60068107;83923013457
267;1;Lavonne Nél;18/08/1998;1;Pereira;Barcelos;Braga;1;Silmery Neguinho;Rua de Pereira Nº32;4750;Barcelos;926500497;972241016;Lavonne.Nél@piscinasbarcacellos.pb;3;24950341;33910444240
268;1;Aimeé Bar;06/06/1987;1;Perelhal;Barcelos;Braga;1;Ilídio Peuzinha;Rua de Perelhal Nº28;4750;Barcelos;951170512;920314480;Aimeé.Bar@piscinasbarcacellos.pb;2;33140010;23742035295
269;1;Alina Galego;28/09/1978;1;Pousa;Barcelos;Braga;2;;Rua de Pousa Nº79;4750;Barcelos;955588385;929738857;Alina.Galego@piscinasbarcacellos.pb;3;65146697;26432718766
270;1;Bella Gordo;25/09/1970;1;Cambeses;Barcelos;Braga;1;Abdul Japa;Rua de Cambeses Nº87;4750;Barcelos;991600171;991773619;Bella.Gordo@piscinasbarcacellos.pb;3;74544256;40844551186
271;1;Gurnoor Flor;23/02/1993;1;Carapeços;Barcelos;Braga;2;;Rua de Carapeços Nº40;4750;Barcelos;997915488;924376342;Gurnoor.Flor@piscinasbarcacellos.pb;3;41877133;38625351891
272;1;Ioan Dunga;09/05/1997;1;Carvalhal;Barcelos;Braga;2;;Rua de Carvalhal Nº78;4750;Barcelos;935725478;990413099;Ioan.Dunga@piscinasbarcacellos.pb;1;53939431;68532574059
273;1;Maisha Pica-Pau;05/10/1992;1;Carvalhas;Barcelos;Braga;1;Ciro Mila-milu;Rua de Carvalhas Nº13;4750;Barcelos;956615594;943020432;Maisha.Pica-Pau@piscinasbarcacellos.pb;1;59117866;52071563454
274;1;Túlipa Fofão;02/01/1983;1;Cossourado;Barcelos;Braga;1;Jofrania Melão;Rua de Cossourado Nº36;4750;Barcelos;959037541;999956029;Túlipa.Fofão@piscinasbarcacellos.pb;2;56020194;48046684548
275;1;Stevan Véi;02/10/1990;1;Barcelos;Barcelos;Braga;1;Florence Bananinha;Rua de Barcelos Nº87;4750;Barcelos;990600185;999129094;Stevan.Véi@piscinasbarcacellos.pb;3;52519685;46997116679
276;1;Harrison Jiló;09/11/1993;1;Martim;Barcelos;Braga;2;;Rua de Martim Nº5;4750;Barcelos;920099168;942472067;Harrison.Jiló@piscinasbarcacellos.pb;3;37509313;15268135287
277;1;Sulamita Quita;21/08/1970;1;Moure;Barcelos;Braga;2;;Rua de Moure Nº94;4750;Barcelos;936350916;967779381;Sulamita.Quita@piscinasbarcacellos.pb;1;91533035;41573392821
278;1;Alisha Pretinho;12/12/2000;1;Oliveira;Barcelos;Braga;1;Jesus Dema;Rua de Oliveira Nº67;4750;Barcelos;934200976;912491263;Alisha.Pretinho@piscinasbarcacellos.pb;1;57881439;55719751550
279;1;Máximo Mel;18/11/1982;1;Palme;Barcelos;Braga;1;Lisbon Pica-Pau;Rua de Palme Nº23;4750;Barcelos;984531551;915982832;Máximo.Mel@piscinasbarcacellos.pb;2;76806682;91747949282
280;1;Nuryam Lunga;26/11/1993;1;Panque;Barcelos;Braga;1;Abrão Juca;Rua de Panque Nº9;4750;Barcelos;940333825;968932462;Nuryam.Lunga@piscinasbarcacellos.pb;3;32613051;84852815393
281;1;Juisney Quita;25/07/1974;1;Paradela;Barcelos;Braga;2;;Rua de Paradela Nº50;4750;Barcelos;922374711;915158438;Juisney.Quita@piscinasbarcacellos.pb;1;91006530;27176168383
282;1;Dora Papa;15/06/1989;1;Pereira;Barcelos;Braga;2;;Rua de Pereira Nº77;4750;Barcelos;941689220;965718502;Dora.Papa@piscinasbarcacellos.pb;3;50927748;61181827006
283;1;Bhidan Fofão;16/11/1973;1;Perelhal;Barcelos;Braga;2;;Rua de Perelhal Nº24;4750;Barcelos;956371291;920220368;Bhidan.Fofão@piscinasbarcacellos.pb;3;56462210;32663722826
284;1;Yossef Alê;10/02/1974;1;Pousa;Barcelos;Braga;1;Marthyn Been;Rua de Pousa Nº45;4750;Barcelos;933291296;959291671;Yossef.Alê@piscinasbarcacellos.pb;3;48969218;60421773803
285;1;Davron Duquinha;16/06/1976;1;Arcozelo;Barcelos;Braga;1;Steffany Dida;Rua de Arcozelo Nº65;4750;Barcelos;917665571;998981275;Davron.Duquinha@piscinasbarcacellos.pb;1;53423760;80601248499
